Index,X0,X1,Fitness_F0,Fitness_F1
0,0.000000,0.000000,0.000000,50.000000
1,0.192308,0.000000,0.147929,48.113905
2,0.192308,0.115385,0.201183,46.973373
3,0.192308,0.230769,0.360947,45.859467
4,0.384615,0.230769,0.804734,44.047337
5,0.192308,0.346154,0.627219,44.772189
6,0.384615,0.346154,1.071006,42.960059
7,0.576923,0.346154,1.810651,41.221893
8,0.192308,0.461538,1.000000,43.711538
9,0.384615,0.461538,1.443787,41.899408
10,0.576923,0.461538,2.183432,40.161243
11,0.769231,0.461538,3.218935,38.497041
12,0.384615,0.576923,1.923077,40.865385
13,0.576923,0.576923,2.662722,39.127219
14,0.769231,0.576923,3.698225,37.463018
15,0.384615,0.692308,2.508876,39.857988
16,0.576923,0.692308,3.248521,38.119822
17,0.769231,0.692308,4.284024,36.455621
18,0.961538,0.692308,5.615385,34.865385
19,0.384615,0.807692,3.201183,38.877219
20,0.576923,0.807692,3.940828,37.139053
21,0.769231,0.807692,4.976331,35.474852
22,0.961538,0.807692,6.307692,33.884615
23,1.153846,0.807692,7.934911,32.368343
24,0.576923,0.923077,4.739645,36.184911
25,0.769231,0.923077,5.775148,34.520710
26,0.961538,0.923077,7.106509,32.930473
27,1.153846,0.923077,8.733728,31.414201
28,0.769231,1.038462,6.680473,33.593195
29,0.961538,1.038462,8.011834,32.002959
30,1.153846,1.038462,9.639053,30.486686
31,1.346154,1.038462,11.562130,29.044379
32,0.769231,1.153846,7.692308,32.692308
33,0.961538,1.153846,9.023669,31.102071
34,1.153846,1.153846,10.650888,29.585799
35,1.346154,1.153846,12.573964,28.143491
36,1.538462,1.153846,14.792899,26.775148
37,0.961538,1.269231,10.142012,30.227811
38,1.153846,1.269231,11.769231,28.711538
39,1.346154,1.269231,13.692308,27.269231
40,1.538462,1.269231,15.911243,25.900888
41,1.730769,1.269231,18.426036,24.606509
42,0.961538,1.384615,11.366864,29.380178
43,1.153846,1.384615,12.994083,27.863905
44,1.346154,1.384615,14.917160,26.421598
45,1.538462,1.384615,17.136095,25.053254
46,1.730769,1.384615,19.650888,23.758876
47,1.153846,1.500000,14.325444,27.042899
48,1.346154,1.500000,16.248521,25.600592
49,1.538462,1.500000,18.467456,24.232249
50,1.730769,1.500000,20.982249,22.937870
51,1.923077,1.500000,23.792899,21.717456
52,1.153846,1.615385,15.763314,26.248521
53,1.346154,1.615385,17.686391,24.806213
54,1.538462,1.615385,19.905325,23.437870
55,1.730769,1.615385,22.420118,22.143491
56,1.923077,1.615385,25.230769,20.923077
57,2.115385,1.615385,28.337278,19.776627
58,1.346154,1.730769,19.230769,24.038462
59,1.538462,1.730769,21.449704,22.670118
60,1.730769,1.730769,23.964497,21.375740
61,1.923077,1.730769,26.775148,20.155325
62,2.115385,1.730769,29.881657,19.008876
63,2.307692,1.730769,33.284024,17.936391
64,1.346154,1.846154,20.881657,23.297337
65,1.538462,1.846154,23.100592,21.928994
