Index,X0,X1,Fitness_F0,Fitness_F1
0,3.741322,2.793091,87.195392,6.454716
1,1.767662,2.385853,35.267703,17.281770
2,0.284660,0.318746,0.730521,44.148573
3,1.828317,2.377879,35.988196,16.935094
4,1.301678,0.707699,8.780817,32.101431
5,0.143431,0.328050,0.512756,45.413383
6,0.731080,0.334051,2.584269,39.994765
7,2.256753,1.708253,32.044241,18.361006
8,0.341989,0.987972,4.372177,37.793438
9,0.067005,0.086823,0.048111,48.473751
10,2.255735,2.071230,37.513343,16.108682
11,0.117018,0.380752,0.634662,45.180964
12,0.187101,0.156257,0.237693,46.625840
13,2.265811,1.657683,31.527236,18.646878
14,0.105808,0.151751,0.136894,47.458639
15,0.378996,0.175689,0.698018,44.627656
16,4.014466,2.935329,98.928384,5.234143
17,1.734007,2.408529,35.231162,17.382435
18,1.794270,1.948776,28.068533,19.586672
19,0.347645,0.654605,2.197459,40.526862
20,3.865808,2.894858,93.298675,5.718017
21,0.934658,0.688296,5.389349,35.117796
22,0.161509,0.169467,0.219217,46.745046
23,1.809797,2.013269,29.314470,19.097957
24,4.757169,2.975893,125.946366,4.155977
25,1.833013,2.206901,32.921391,17.831210
26,1.063634,0.397377,5.156905,36.679113
27,0.241165,0.944597,3.801696,39.092805
28,4.751067,2.819304,122.084457,4.817401
29,1.839728,2.047438,30.306404,18.704942
30,3.933092,2.616030,89.251310,6.821605
31,0.144988,0.925946,3.513587,40.169065
32,1.822650,2.482491,37.939258,16.433405
33,2.089457,1.654940,28.418627,19.660688
34,0.090667,0.738373,2.213659,42.263014
35,4.403611,2.515320,102.874509,6.529315
36,1.095687,0.500161,5.802762,35.492210
37,0.389992,1.110306,5.539490,36.381894
38,1.799191,2.243879,33.088328,17.841380
39,4.863416,2.800048,125.972328,4.858445
40,1.530734,2.378642,32.004350,18.907320
41,1.634442,2.630540,38.364554,16.941324
42,4.785431,2.396314,114.570674,6.825223
43,0.324874,1.213052,6.308157,36.197774
44,1.585738,2.414814,33.383575,18.340369
45,1.487912,2.739925,38.884278,17.442702
46,1.253551,0.268727,6.574418,36.420826
47,1.286823,2.817683,38.380992,18.550195
48,1.352961,2.673457,35.911515,18.713692
49,1.400989,0.144070,7.934108,36.532939
50,2.796828,1.258873,37.628033,18.849998
