Index,isCollision
0,True
1,False
2,False
3,True
4,False
5,True
6,False
7,False
8,True
9,False
10,True
11,True
12,True
13,False
14,True
15,False
16,True
17,True
18,True
19,False
20,True
21,False
22,True
23,True
24,True
25,True
26,False
27,False
28,False
29,False
30,False
31,False
32,True
33,True
34,False
35,True
36,False
37,True
38,True
39,True
40,True
41,False
42,False
43,True
44,True
45,True
46,True
47,True
48,False
49,False
50,True
51,False
52,True
53,False
54,True
55,False
56,True
57,True
58,False
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,True
67,False
68,True
69,True
70,False
71,True
72,False
73,True
74,True
75,False
76,True
77,False
78,True
79,False
80,False
81,True
82,True
83,False
84,False
85,True
86,False
87,True
88,False
89,False
90,False
91,True
92,True
93,True
94,False
95,True
96,False
97,False
98,True
99,True
100,True
101,True
102,False
103,True
104,False
105,True
106,True
107,False
108,False
109,False
110,True
111,False
112,False
113,False
114,False
115,False
116,False
117,True
118,False
119,False
120,False
121,False
122,False
123,False
124,False
125,False
126,False
127,False
128,False
129,True
130,False
131,False
132,False
133,False
134,False
135,False
136,True
137,True
138,False
139,True
140,True
141,False
142,False
143,False
144,False
145,False
146,True
147,True
148,True
149,True
150,True
151,True
152,False
153,True
154,False
155,False
156,True
157,True
158,False
159,False
160,False
161,True
162,True
163,False
164,False
165,True
166,False
167,True
168,False
169,False
170,False
171,False
172,False
173,True
174,False
175,False
176,True
177,False
178,False
179,False
180,True
181,False
182,False
183,False
184,False
185,True
186,False
187,False
188,True
189,False
190,False
191,False
192,False
193,False
194,False
195,False
196,False
197,False
198,False
199,False
200,True
201,True
202,False
203,True
204,True
205,True
206,True
207,False
208,False
209,False
210,True
211,False
212,True
213,True
214,True
215,False
216,False
217,True
218,False
219,False
220,True
221,False
222,False
223,False
224,True
225,True
226,False
227,True
228,False
229,False
230,False
231,False
232,False
233,False
234,False
235,True
236,False
237,False
238,False
239,True
240,True
241,False
242,True
243,False
244,True
245,True
246,False
247,False
248,False
249,True
250,True
251,False
252,True
253,True
254,True
255,True
256,True
257,False
258,False
259,True
260,True
261,False
262,False
263,True
264,True
265,True
266,True
267,False
268,False
269,False
270,True
271,False
272,False
273,True
274,False
275,True
276,False
277,True
278,True
279,True
280,True
281,True
282,True
283,True
284,False
285,False
286,False
287,False
288,True
289,False
290,True
291,False
292,False
293,True
294,True
295,True
296,False
297,True
298,False
299,False
300,True
301,False
302,True
303,False
304,False
305,True
306,False
307,True
308,True
309,False
310,True
311,True
312,True
313,True
314,True
315,False
316,False
317,True
318,True
319,False
320,False
321,True
322,False
323,True
324,False
325,True
326,True
327,False
328,False
329,False
330,True
331,True
332,True
333,True
334,True
335,False
336,False
337,True
338,True
339,True
340,True
341,True
342,True
343,True
344,False
345,True
346,True
347,False
348,True
349,True
350,True
351,False
352,True
353,True
354,False
355,True
356,True
357,True
358,True
359,True
360,True
361,True
362,True
363,False
364,False
365,False
366,True
367,True
368,True
369,False
370,True
371,False
372,True
373,True
374,True
375,True
376,True
377,False
378,True
379,False
380,False
