Index,X0,X1,F0,F1,Critical
0,0.000000,0.000000,0.000000,50.000000,0
1,0.192308,0.000000,0.147929,48.113905,1
2,0.192308,0.115385,0.201183,46.973373,1
3,0.192308,0.230769,0.360947,45.859467,1
4,0.384615,0.230769,0.804734,44.047337,1
5,0.192308,0.346154,0.627219,44.772189,1
6,0.384615,0.346154,1.071006,42.960059,1
7,0.576923,0.346154,1.810651,41.221893,1
8,0.192308,0.461538,1.000000,43.711538,1
9,0.384615,0.461538,1.443787,41.899408,1
10,0.576923,0.461538,2.183432,40.161243,1
11,0.769231,0.461538,3.218935,38.497041,1
12,0.384615,0.576923,1.923077,40.865385,1
13,0.576923,0.576923,2.662722,39.127219,1
14,0.769231,0.576923,3.698225,37.463018,1
15,0.384615,0.692308,2.508876,39.857988,1
16,0.576923,0.692308,3.248521,38.119822,1
17,0.769231,0.692308,4.284024,36.455621,1
18,0.961538,0.692308,5.615385,34.865385,1
19,0.384615,0.807692,3.201183,38.877219,1
20,0.576923,0.807692,3.940828,37.139053,1
21,0.769231,0.807692,4.976331,35.474852,1
22,0.961538,0.807692,6.307692,33.884615,1
23,1.153846,0.807692,7.934911,32.368343,1
24,0.576923,0.923077,4.739645,36.184911,1
25,0.769231,0.923077,5.775148,34.520710,1
26,0.961538,0.923077,7.106509,32.930473,1
27,1.153846,0.923077,8.733728,31.414201,1
28,0.769231,1.038462,6.680473,33.593195,1
29,0.961538,1.038462,8.011834,32.002959,1
30,1.153846,1.038462,9.639053,30.486686,1
31,1.346154,1.038462,11.562130,29.044379,0
32,0.769231,1.153846,7.692308,32.692308,1
33,0.961538,1.153846,9.023669,31.102071,1
34,1.153846,1.153846,10.650888,29.585799,0
35,1.346154,1.153846,12.573964,28.143491,0
36,1.538462,1.153846,14.792899,26.775148,0
37,0.961538,1.269231,10.142012,30.227811,0
38,1.153846,1.269231,11.769231,28.711538,0
39,1.346154,1.269231,13.692308,27.269231,0
40,1.538462,1.269231,15.911243,25.900888,0
41,1.730769,1.269231,18.426036,24.606509,0
42,0.961538,1.384615,11.366864,29.380178,0
43,1.153846,1.384615,12.994083,27.863905,0
