Index,X0,X1,F0,F1,Critical
0,0.000000,0.000000,0.000000,50.000000,0
1,0.555556,0.000000,1.234568,44.753086,1
2,0.555556,0.333333,1.679012,41.530864,1
3,0.555556,0.666667,3.012346,38.530864,1
4,1.111111,0.666667,6.716049,33.901235,1
5,0.555556,1.000000,5.234568,35.753086,1
6,1.111111,1.000000,8.938272,31.123457,1
7,1.666667,1.000000,15.111111,27.111111,0
8,0.555556,1.333333,8.345679,33.197531,1
9,1.111111,1.333333,12.049383,28.567901,0
10,1.666667,1.333333,18.222222,24.555556,0
11,2.222222,1.333333,26.864198,21.160494,0
12,1.111111,1.666667,16.049383,26.234568,0
13,1.666667,1.666667,22.222222,22.222222,0
14,2.222222,1.666667,30.864198,18.827160,1
15,1.111111,2.000000,20.938272,24.123457,0
16,1.666667,2.000000,27.111111,20.111111,0
17,2.222222,2.000000,35.753086,16.716049,1
18,2.777778,2.000000,46.864198,13.938272,0
19,1.666667,2.333333,32.888889,18.222222,1
20,2.222222,2.333333,41.530864,14.827160,0
21,2.777778,2.333333,52.641975,12.049383,0
22,3.333333,2.333333,66.222222,9.888889,0
23,1.666667,2.666667,39.555556,16.555556,1
24,2.222222,2.666667,48.197531,13.160494,0
25,2.777778,2.666667,59.308642,10.382716,0
26,3.333333,2.666667,72.888889,8.222222,0
27,3.888889,2.666667,88.938272,6.679012,1
28,2.222222,3.000000,55.753086,11.716049,0
29,2.777778,3.000000,66.864198,8.938272,0
30,3.333333,3.000000,80.444444,6.777778,1
31,3.888889,3.000000,96.493827,5.234568,1
32,4.444444,3.000000,115.012346,4.308642,1
33,5.000000,3.000000,136.000000,4.000000,1
34,1.111111,0.000000,4.938272,40.123457,1
35,1.111111,0.333333,5.382716,36.901235,1
36,1.666667,0.333333,11.555556,32.888889,0
37,1.666667,0.000000,11.111111,36.111111,0
38,1.666667,0.666667,12.888889,29.888889,0
39,0.555556,1.666667,12.345679,30.864198,0
40,0.555556,2.000000,17.234568,28.753086,0
41,2.222222,1.000000,23.753086,23.716049,0
42,1.111111,2.333333,26.716049,22.234568,0
43,2.222222,0.666667,21.530864,26.493827,0
44,2.777778,1.333333,37.975309,18.382716,1
45,1.111111,2.666667,33.382716,20.567901,0
46,2.777778,1.666667,41.975309,16.049383,0
47,1.666667,3.000000,47.111111,15.111111,0
48,3.333333,1.666667,55.555556,13.888889,0
49,3.333333,2.000000,60.444444,11.777778,0
50,3.888889,2.000000,76.493827,10.234568,0
51,3.888889,2.333333,82.271605,8.345679,0
52,4.444444,2.333333,100.790123,7.419753,0
53,4.444444,2.666667,107.456790,5.753086,1
54,5.000000,2.666667,128.444444,5.444444,1
55,2.222222,0.000000,19.753086,32.716049,0
56,2.222222,0.333333,20.197531,29.493827,0
57,2.777778,0.666667,32.641975,23.716049,0
58,2.777778,0.333333,31.308642,26.716049,0
59,1.111111,3.000000,40.938272,19.123457,0
60,2.777778,1.000000,34.864198,20.938272,0
61,3.333333,1.000000,48.444444,18.777778,0
62,3.333333,1.333333,51.555556,16.222222,0
63,3.888889,1.333333,67.604938,14.679012,0
64,3.888889,1.666667,71.604938,12.345679,0
65,4.444444,1.666667,90.123457,11.419753,0
66,4.444444,2.000000,95.012346,9.308642,0
67,5.000000,2.000000,116.000000,9.000000,0
68,5.000000,2.333333,121.777778,7.111111,0
69,2.777778,0.000000,30.864198,29.938272,0
70,3.333333,0.000000,44.444444,27.777778,0
71,3.333333,0.333333,44.888889,24.555556,0
72,3.333333,0.666667,46.222222,21.555556,0
73,3.888889,0.666667,62.271605,20.012346,0
74,3.888889,1.000000,64.493827,17.234568,0
75,4.444444,1.000000,83.012346,16.308642,0
76,4.444444,1.333333,86.123457,13.753086,0
77,5.000000,1.333333,107.111111,13.444444,0
78,5.000000,1.666667,111.111111,11.111111,0
79,3.888889,0.000000,60.493827,26.234568,0
80,3.888889,0.333333,60.938272,23.012346,0
81,4.444444,0.333333,79.456790,22.086420,0
82,4.444444,0.666667,80.790123,19.086420,0
83,5.000000,0.666667,101.777778,18.777778,0
84,5.000000,1.000000,104.000000,16.000000,0
85,4.444444,0.000000,79.012346,25.308642,0
86,5.000000,0.000000,100.000000,25.000000,0
87,5.000000,0.333333,100.444444,21.777778,0
88,0.000000,0.333333,0.444444,46.777778,1
89,0.555556,2.333333,23.012346,26.864198,0
90,0.000000,0.666667,1.777778,43.777778,1
91,0.000000,1.000000,4.000000,41.000000,1
92,0.000000,1.333333,7.111111,38.444444,1
93,0.555556,2.666667,29.679012,25.197531,0
94,0.000000,1.666667,11.111111,36.111111,0
95,0.555556,3.000000,37.234568,23.753086,0
96,0.000000,2.000000,16.000000,34.000000,0
97,0.000000,2.333333,21.777778,32.111111,0
98,0.000000,2.666667,28.444444,30.444444,0
99,0.000000,3.000000,36.000000,29.000000,0
