Index,X0,X1,Fitness_F0
0,-0.074907,-0.005143,1.098138
1,-0.074907,-0.005143,1.098138
2,-0.074907,-0.005143,1.098138
3,-0.035283,0.004019,0.249180
4,-0.012154,-0.052330,0.567713
5,-0.074907,-0.005143,1.098138
6,0.095385,-0.028312,1.910503
7,-0.033078,0.004019,0.219504
8,-0.012154,-0.052330,0.567713
9,-0.074907,-0.005143,1.098138
10,0.095385,-0.028312,1.910503
11,-0.033078,0.004019,0.219504
12,-0.012154,-0.052330,0.567713
13,-0.074907,-0.005143,1.098138
14,0.095385,-0.028312,1.910503
15,-0.033078,0.004019,0.219504
16,-0.012154,-0.052330,0.567713
17,-0.074907,-0.005143,1.098138
18,0.095385,-0.028312,1.910503
19,0.005112,0.048283,0.464157
20,-0.033078,0.004019,0.219504
21,-0.012154,-0.052330,0.567713
22,0.047600,0.003342,0.448392
23,0.095385,-0.028312,1.910503
24,0.005112,0.048283,0.464157
25,-0.033078,0.004019,0.219504
26,-0.032034,0.016741,0.258455
27,0.013224,0.003631,0.037291
28,0.095385,-0.028312,1.910503
29,1.001902,0.047779,1.454051
30,0.005112,0.048283,0.464157
31,0.005892,-0.060144,0.716066
32,-0.033078,0.004019,0.219504
33,-0.053305,-0.064871,1.381928
34,0.036674,0.070171,1.226894
35,-0.032034,0.016741,0.258455
36,0.013224,0.003631,0.037291
37,-0.054929,-0.060920,1.320078
38,-0.998098,-0.026635,1.137332
39,0.005112,0.048283,0.464157
40,0.005892,-0.060144,0.716066
41,-0.027730,0.004035,0.155397
42,-0.053305,-0.064871,1.381928
43,0.057019,-0.032021,0.840917
44,0.070880,-0.016493,1.034347
45,0.016465,0.010021,0.073655
46,0.013224,0.003631,0.037291
47,-0.046669,-0.038813,0.726434
48,-0.998098,-0.026635,1.137332
49,0.005112,0.048283,0.464157
50,-0.014882,-0.043659,0.419704
51,-0.027730,0.004035,0.155397
52,0.006736,0.057954,0.668043
53,0.057019,-0.032021,0.840917
54,-0.035269,-0.009855,0.265038
55,0.016465,0.010021,0.073655
56,0.013224,0.003631,0.037291
57,-0.046669,-0.038813,0.726434
58,-0.998098,-0.026635,1.137332
59,0.005112,0.048283,0.464157
60,-0.009913,0.038836,0.317235
61,0.020503,0.003418,0.085601
62,-0.028925,-0.007716,0.177348
63,0.057019,-0.032021,0.840917
64,-0.031893,0.005278,0.206650
65,-0.011787,0.003121,0.029482
66,0.013224,0.003631,0.037291
67,-0.054232,-0.001828,0.578562
68,-0.998098,-0.026635,1.137332
69,0.045159,0.006320,0.409816
70,-0.009913,0.038836,0.317235
71,-0.002375,0.003498,0.003546
72,-0.028925,-0.007716,0.177348
73,0.057019,-0.032021,0.840917
74,0.029504,0.008969,0.188155
75,-0.011787,0.003121,0.029482
76,0.013224,0.003631,0.037291
77,-0.054232,-0.001828,0.578562
78,-0.061102,0.001080,0.731907
79,-0.998098,-0.026635,1.137332
80,0.041555,-0.016260,0.393063
81,0.021790,-0.022366,0.193131
82,-0.002375,0.003498,0.003546
83,0.003062,-0.025807,0.133704
84,-0.022708,-0.050011,0.594274
85,0.029504,0.008969,0.188155
86,-0.011787,0.003121,0.029482
87,0.013224,0.003631,0.037291
88,0.035776,0.008980,0.268851
89,-0.061102,0.001080,0.731907
90,-0.998098,-0.026635,1.137332
91,-0.043439,-0.009717,0.390781
92,0.021790,-0.022366,0.193131
93,-0.002375,0.003498,0.003546
94,0.019109,-0.017085,0.130213
95,-0.022708,-0.050011,0.594274
96,0.021128,0.003591,0.090985
97,-0.011787,0.003121,0.029482
98,0.013224,0.003631,0.037291
99,0.035776,0.008980,0.268851
100,-0.061102,0.001080,0.731907
101,-0.998098,-0.026635,1.137332
102,-0.043439,-0.009717,0.390781
103,0.021790,-0.022366,0.193131
104,-0.002375,0.003498,0.003546
105,0.019109,-0.017085,0.130213
106,-0.006085,0.030166,0.187342
107,0.021128,0.003591,0.090985
108,0.043707,-0.063047,1.155008
109,-0.011787,0.003121,0.029482
110,0.013224,0.003631,0.037291
111,-0.005713,0.000596,0.006546
112,-0.061102,0.001080,0.731907
113,-0.998098,-0.026635,1.137332
114,0.041749,-0.000942,0.343999
115,0.021790,-0.022366,0.193131
116,-0.002375,0.003498,0.003546
117,-0.014386,-0.013905,0.079368
118,-0.002133,0.019394,0.075433
119,-0.002912,0.003765,0.004495
120,0.043707,-0.063047,1.155008
121,0.064002,-0.054991,1.395834
122,0.006213,0.002968,0.009404
123,0.013224,0.003631,0.037291
124,-0.005713,0.000596,0.006546
125,-0.017532,-0.001209,0.061208
126,-0.998098,-0.026635,1.137332
127,-0.009933,-0.000116,0.019571
128,0.021790,-0.022366,0.193131
129,-0.002375,0.003498,0.003546
130,0.052673,0.027566,0.695832
131,-0.013589,-0.012254,0.066390
132,-0.000798,-0.007111,0.010157
