Index,X0,X1,Fitness_F0,Fitness_F1
0,2.315896,2.975606,56.870403,11.302589
1,2.959908,2.367548,57.465349,11.091780
2,4.891308,2.690135,124.646885,5.347290
3,2.218088,2.165176,38.431610,15.775260
4,2.457100,0.185240,24.286609,29.648253
5,3.464636,2.320056,69.545436,9.539446
6,2.291174,2.345152,42.996860,14.385958
7,1.149723,0.174226,5.408867,38.112730
8,1.024396,0.708107,6.203207,34.225777
9,0.822655,2.687176,31.590702,22.799370
10,0.980300,0.928293,7.290861,32.736789
11,1.005221,0.747331,6.275895,34.043448
12,1.844578,2.951082,48.445421,14.154750
13,3.891969,2.221613,80.331941,8.947169
14,3.559522,2.335566,72.500252,9.174187
